step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,F1
106,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,0.096047,False,0.0,0.0
212,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,0.21816,False,0.0,0.0
318,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,0.36419999999999997,False,0.0,0.0
424,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,0.528054,False,0.0,0.0
530,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,0.70872,False,0.0,0.0
636,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,0.906933,False,0.0,0.0
742,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,1.12173,False,0.0,0.0
848,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,1.3536089999999998,False,0.0,0.0
954,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,1.6022999999999998,False,0.0,0.0
1060,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,1.8683169999999998,False,0.0,0.0
1166,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,2.154063,False,0.0,0.0
1272,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,2.457068,False,0.0,0.0
1378,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,2.776444,False,0.0,0.0
1484,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,3.112636,False,0.0,0.0
1590,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,3.465444,False,0.0,0.0
1696,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,3.8349100000000003,False,0.0,0.0
1802,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,4.220963,False,0.0,0.0
1908,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,4.623184,False,0.0,0.0
2014,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,5.0420240000000005,False,0.0,0.0
2120,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,5.4770970000000005,False,0.0,0.0
2226,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,5.928776000000001,False,0.0,0.0
2332,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,6.396781000000001,False,0.0,0.0
2438,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,6.881572000000001,False,0.0,0.0
2544,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,7.382823000000001,False,0.0,0.0
2650,Binary classification,CapyMoa Hoeffding Tree,Bananas,0.021879196166992188,7.903151000000001,False,0.0,0.0
